fold_id,final_score,label,regime_adjusted_score,tp_level,sl_level,tp_sl_outcome,confidence,ev,ticker,date,sector,strategy,tp_pct,sl_pct,max_holding_days,rr_ratio,risk_benefit_score,sim_entry_date,sim_actual_entry_date,entry_price,tp_price,sl_price,sim_outcome,sim_days_to_outcome,sim_outcome_date
2024Q4,0.408,1,0.384,0.06,0.04,TP,0.408,-0.001,COR,2024-12-31,Health Care,conservative,0.06,0.04,91,1.373,-0.002,2025-02-14,2025-02-14,242.63,257.51,231.79,TP,24,2025-03-10
2024Q4,0.268,1,0.315,0.09,0.03,TP,0.268,-0.0,COST,2024-12-31,Consumer Discretionary,conservative,0.09,0.03,91,2.683,-0.001,2025-02-14,2025-02-14,1071.85,1168.94,1035.66,SL,6,2025-02-20
2024Q4,0.554,0,0.6,0.05,0.08,SL,0.554,-0.005,CPB,2024-12-31,Consumer Staples,conservative,0.05,0.08,91,0.692,-0.006,2025-02-14,2025-02-14,38.6,40.65,35.64,TP,10,2025-02-24
2024Q4,0.358,0,0.351,0.1,0.03,SL,0.358,0.016,CPRT,2024-12-31,Commercial Services & Supplies,conservative,0.1,0.03,91,3.175,0.029,2025-02-14,2025-02-14,59.39,65.54,57.45,SL,7,2025-02-21
2024Q4,0.449,1,0.474,0.06,0.06,TP,0.449,-0.004,CPT,2024-12-31,Real Estate,conservative,0.06,0.06,91,1.057,-0.005,2025-02-14,2025-02-14,119.07,126.02,112.49,SL,49,2025-04-04
2024Q4,0.662,0,0.615,0.08,0.1,SL,0.662,0.018,CRL,2024-12-31,Life Sciences Tools & Services,conservative,0.08,0.1,91,0.78,0.022,2025-02-14,2025-02-14,151.99,163.97,136.64,TP,5,2025-02-19
2024Q4,0.264,0,0.244,0.1,0.05,SL,0.264,-0.011,CRM,2024-12-31,Technology,conservative,0.1,0.05,91,1.968,-0.016,2025-02-14,2025-02-14,326.54,359.08,310.01,SL,7,2025-02-21
2024Q4,0.318,1,0.298,0.23,0.05,TP,0.318,0.041,CRWD,2024-12-31,Technology,conservative,0.23,0.05,91,5.034,0.083,2025-02-14,2025-02-14,451.74,554.5,431.33,SL,7,2025-02-21
2024Q4,0.45,1,0.436,0.07,0.04,TP,0.45,0.009,CSCO,2024-12-31,Communications,conservative,0.07,0.04,91,1.668,0.013,2025-02-14,2025-02-14,64.87,69.68,61.98,SL,25,2025-03-11
2024Q4,0.611,1,0.636,0.05,0.06,TP,0.611,0.008,CSGP,2024-12-31,Real Estate,conservative,0.05,0.06,91,0.848,0.01,2025-02-14,2025-02-14,74.06,78.11,69.28,TP,5,2025-02-19
2024Q4,0.648,1,0.66,0.03,0.06,TP,0.648,0.001,CSX,2024-12-31,Road & Rail,conservative,0.03,0.06,91,0.582,0.002,2025-02-14,2025-02-14,33.37,34.49,31.45,SL,18,2025-03-04
2024Q4,0.188,1,0.18,0.1,0.03,TP,0.188,-0.008,CTAS,2024-12-31,Commercial Services & Supplies,conservative,0.1,0.03,91,3.076,-0.014,2025-02-14,2025-02-14,204.22,224.91,197.5,SL,25,2025-03-11
2024Q4,0.4,1,0.369,0.11,0.09,TP,0.4,-0.009,CTRA,2024-12-31,Energy,conservative,0.11,0.09,91,1.243,-0.012,2025-02-14,2025-02-14,27.52,30.6,25.04,SL,52,2025-04-07
2024Q4,0.35,1,0.331,0.08,0.06,TP,0.35,-0.012,CTSH,2024-12-31,Technology,conservative,0.08,0.06,91,1.283,-0.016,2025-02-14,2025-02-14,90.7,97.77,85.19,SL,7,2025-02-21
2024Q4,0.492,1,0.543,0.07,0.06,TP,0.492,0.004,CTVA,2024-12-31,Materials,conservative,0.07,0.06,91,1.163,0.005,2025-02-14,2025-02-14,63.96,68.71,59.87,SL,18,2025-03-04
